"to","from","n"
"Armando.James.Ortega@dtaa.com","Ella.Rhonda.Logan@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Evangeline.Chava.Curtis@dtaa.com",18
"Armando.James.Ortega@dtaa.com","Germane.Vielka.Rivas@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Gisela.Kelsie.Yates@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Grady.Calvin.Morin@dtaa.com",13
"Armando.James.Ortega@dtaa.com","Guy.Quamar.Griffin@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Hunter.Flynn.Pope@dtaa.com",1
"Armando.James.Ortega@dtaa.com","James.Demetrius.Jacobson@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Jasper.Lamar.Spence@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Keaton.Avram.Whitley@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Kennan.Thane.Chavez@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Laith.Griffith.Livingston@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Lysandra.Keiko.Franks@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Madeson.Chanda.Foley@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Marsden.Paul.Wong@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Nash.Derek.Alford@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Nelle.Hadley.Walker@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Olivia.Kylee.Castaneda@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Quemby.Charity.Dudley@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Quentin.Benjamin.Stout@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Quincy.Reece.Merrill@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Rhea.Lacey.Harmon@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Ryder.Hector.Henson@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Sade.Lavinia.Colon@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Tanisha.Chelsea.Preston@dtaa.com",16
"Armando.James.Ortega@dtaa.com","Tashya.Adria.Fowler@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Todd.Jonathan.Shields@dtaa.com",1
"Armando.James.Ortega@dtaa.com","Wylie.Keane.Conway@dtaa.com",1
"Arsenio.Ethan.Booker@netzero.com","Iris.Yeo.Frye@dtaa.com",1
"Arsenio.Ethan.Booker@netzero.com","Kasper.Thomas.Shelton@dtaa.com",12
"Arsenio.Flynn.Knight@northropgrumman.com","Ferris.Thomas.Vargas@dtaa.com",2
"Arsenio.Flynn.Knight@northropgrumman.com","Hamilton.Donovan.Waller@dtaa.com",1
"Arsenio.Flynn.Knight@northropgrumman.com","Sloane.Lacey.Mcmahon@dtaa.com",1
"Arsenio.Graiden.Anderson@harris.com","Ciaran.Casey.Fuller@dtaa.com",1
"Arsenio.Keefe.Fuentes@sbcglobal.net","Roth.Laith.Pena@dtaa.com",1
"Arsenio.Oren.Yang@yahoo.com","Ezra.Reuben.Warner@dtaa.com",1
"Arsenio.Oren.Yang@yahoo.com","Hayes.Tobias.Mcdowell@dtaa.com",3
"Arsenio.Oren.Yang@yahoo.com","Ivan.Allistair.Bender@dtaa.com",7
"Arsenio.Oren.Yang@yahoo.com","Ivy.Hiroko.Sears@dtaa.com",1
"Arsenio.Oren.Yang@yahoo.com","Judah.John.Barker@dtaa.com",11
"Arsenio.Oren.Yang@yahoo.com","Morgan.Avye.Banks@dtaa.com",1
"Arsenio.Oren.Yang@yahoo.com","Zeph.Ezekiel.Richards@dtaa.com",1
"Arsenio.Yuli.Scott@northropgrumman.com","Callum.Gray.Farley@dtaa.com",1
"Arsenio.Zephania.Flores@bellsouth.net","Basil.Shad.Schwartz@dtaa.com",2
"Arsenio.Zephania.Flores@bellsouth.net","Venus.Bethany.Macdonald@dtaa.com",1
"Arsenio.Zephania.Flores@bellsouth.net","Vladimir.Dale.Tyson@dtaa.com",1
"Arthur.Abdul.Buckley@sbcglobal.net","Cole.Dorian.Gibbs@dtaa.com",3
"Arthur.Abdul.Buckley@sbcglobal.net","Palmer.Ahmed.Sutton@dtaa.com",1
"Arthur.Benjamin.Meyer@earthlink.net","Drew.Ezra.Walsh@dtaa.com",1
"Arthur.Benjamin.Meyer@earthlink.net","Guy.Lev.Parrish@dtaa.com",9
"Arthur.Benjamin.Meyer@earthlink.net","Kylan.Pamela.Barry@dtaa.com",3
"Arthur.Benjamin.Patrick@aol.com","Dakota.Clare.Williamson@dtaa.com",1
"Arthur.Benjamin.Patrick@aol.com","Melvin.Alec.Delgado@dtaa.com",2
"Arthur.Sylvester.Branch@aol.com","Evangeline.Chava.Curtis@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Akeem.Paki.Chapman@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Althea.Myra.Hamilton@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Amethyst.Ocean.Whitley@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Amos.Jermaine.Lane@dtaa.com",21
"Ashely.Kai.Bruce@dtaa.com","Anne.Zia.Hawkins@dtaa.com",11
"Ashely.Kai.Bruce@dtaa.com","Autumn.Sara.Snider@dtaa.com",16
"Ashely.Kai.Bruce@dtaa.com","Beck.Colin.Dean@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Benjamin.Alec.Gutierrez@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Benjamin.Nash.Boone@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Bevis.Dante.Mayo@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Caesar.Zeus.Black@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Callie.Sierra.Gates@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Cameran.Cally.Rodriquez@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Cameran.Sheila.Conrad@dtaa.com",22
"Ashely.Kai.Bruce@dtaa.com","Cassady.Riley.Alvarez@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Castor.Cruz.Curtis@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Chancellor.Cody.Douglas@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Chandler.Erasmus.Bradford@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Chiquita.Fallon.Burris@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Cole.Dorian.Gibbs@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Cole.Thaddeus.Ellison@dtaa.com",17
"Ashely.Kai.Bruce@dtaa.com","Eagan.Arthur.Holman@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Eden.Bernard.Strickland@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Edward.Plato.Parks@dtaa.com",29
"Ashely.Kai.Bruce@dtaa.com","Ella.Rhonda.Logan@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Emerald.Glenna.Lester@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Fiona.Phyllis.Swanson@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Genevieve.Rhoda.Barber@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Geoffrey.Hamish.Wise@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Giselle.Shellie.Barnett@dtaa.com",19
"Ashely.Kai.Bruce@dtaa.com","Honorato.Kennedy.Knox@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Howard.Jonathan.Contreras@dtaa.com",15
"Ashely.Kai.Bruce@dtaa.com","Ina.Karyn.Wilkerson@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Isaiah.Hyatt.Talley@dtaa.com",19
"Ashely.Kai.Bruce@dtaa.com","Ivana.Cecilia.Patton@dtaa.com",18
"Ashely.Kai.Bruce@dtaa.com","Jameson.William.Schultz@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Joelle.Eleanor.Best@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Jorden.Maris.Clemons@dtaa.com",2
"Ashely.Kai.Bruce@dtaa.com","Lee.Yen.Frazier@dtaa.com",16
"Ashely.Kai.Bruce@dtaa.com","Madeson.Chanda.Foley@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Mari.Jamalia.Owen@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Maxwell.Mason.Osborne@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Nichole.Maisie.Leach@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Nicole.Maris.Valentine@dtaa.com",5
"Ashely.Kai.Bruce@dtaa.com","Octavius.Ulric.Sexton@dtaa.com",2
"Ashely.Kai.Bruce@dtaa.com","Olivia.Kylee.Castaneda@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Paloma.Haviva.Henry@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Porter.Hop.Livingston@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Roanna.Jillian.Johnson@dtaa.com",1
"Ashely.Kai.Bruce@dtaa.com","Robert.Herrod.Walter@dtaa.com",16
"Ashely.Kai.Bruce@dtaa.com","Tad.Gabriel.Mays@dtaa.com",16
"Ashely.Kai.Bruce@dtaa.com","Tobias.Brady.Fletcher@dtaa.com",15
"Ashely.Kai.Bruce@dtaa.com","Venus.Bethany.Macdonald@dtaa.com",1
"Ashely.Sarah.Figueroa@verizon.net","Bevis.Dante.Mayo@dtaa.com",1
"Ashely.Sarah.Figueroa@verizon.net","Grady.Calvin.Morin@dtaa.com",1
"Ashely.Sarah.Figueroa@verizon.net","Uta.Jayme.Brennan@dtaa.com",22
"Ashely.Violet.Joyner@dtaa.com","Abraham.Perry.Reyes@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Akeem.Brent.Holland@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Arden.Chaim.Cohen@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Barbara.Jamalia.Hahn@dtaa.com",23
"Ashely.Violet.Joyner@dtaa.com","Blossom.Lisandra.Boyer@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Bo.Quemby.Durham@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Brenna.Adria.Kline@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Bruno.Jakeem.England@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Brynne.Irma.Britt@dtaa.com",17
"Ashely.Violet.Joyner@dtaa.com","Burke.Reed.Haynes@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Burton.Isaiah.Blevins@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Cassandra.Francesca.Buchanan@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Chandler.Erasmus.Bradford@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Chloe.Darrel.Hobbs@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Christen.Portia.Solis@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Cynthia.Cheyenne.Melton@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Damon.Hyatt.Boyle@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Daquan.Wing.Gutierrez@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Dorothy.Zenia.Odonnell@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Eden.Boris.Chase@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Emi.Blossom.Richard@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Georgia.Madison.Preston@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Germaine.Cameran.Irwin@dtaa.com",18
"Ashely.Violet.Joyner@dtaa.com","Gisela.Jeanette.Watkins@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Guy.Quamar.Griffin@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Hamish.Keith.Hart@dtaa.com",18
"Ashely.Violet.Joyner@dtaa.com","Hanna.Priscilla.Strickland@dtaa.com",15
"Ashely.Violet.Joyner@dtaa.com","Ingrid.Alma.Fields@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Jolene.Martha.Blake@dtaa.com",10
"Ashely.Violet.Joyner@dtaa.com","Keefe.Darius.Duran@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Keegan.Ashton.Cervantes@dtaa.com",22
"Ashely.Violet.Joyner@dtaa.com","Lawrence.Mark.Harrington@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Lucas.Grady.Wyatt@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Madaline.Alisa.Bond@dtaa.com",2
"Ashely.Violet.Joyner@dtaa.com","Nasim.Amir.Jackson@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Nolan.Elmo.Cherry@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Norman.Levi.Bentley@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Olga.Jane.Bonner@dtaa.com",22
"Ashely.Violet.Joyner@dtaa.com","Perry.Deacon.Harding@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Remedios.Hyacinth.Montgomery@dtaa.com",13
"Ashely.Violet.Joyner@dtaa.com","Stella.Ursula.Velasquez@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Suki.Ginger.Estes@dtaa.com",2
"Ashely.Violet.Joyner@dtaa.com","Taylor.Hedley.Yates@dtaa.com",20
"Ashely.Violet.Joyner@dtaa.com","Thomas.Jacob.Booth@dtaa.com",23
"Ashely.Violet.Joyner@dtaa.com","Vladimir.Dale.Tyson@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Whilemina.Shafira.Perry@dtaa.com",1
"Ashely.Violet.Joyner@dtaa.com","Wing.Aidan.Waters@dtaa.com",23
"Ashely.Violet.Joyner@dtaa.com","Zoe.Jena.Williams@dtaa.com",1
"Asher.Aaron.Jensen@sbcglobal.net","Hector.Martin.Daugherty@dtaa.com",11
"Asher.Aaron.Jensen@sbcglobal.net","Joshua.Jamal.Bowen@dtaa.com",4
"Asher.Lucas.Morrow@gmail.com","Jasper.Lamar.Spence@dtaa.com",1
"Asher.Lucas.Morrow@gmail.com","Maxine.Priscilla.Stewart@dtaa.com",1
"Asher.Lucas.Morrow@gmail.com","Uta.Jayme.Brennan@dtaa.com",1
"Asher.Wesley.Lowery@gmail.com","Amos.Jermaine.Lane@dtaa.com",1
"Asher.Wesley.Lowery@gmail.com","Cadman.Hop.Hayes@dtaa.com",1
"Asher.Wesley.Lowery@gmail.com","Nina.Justina.Goodman@dtaa.com",27
"Asher.Wesley.Lowery@gmail.com","Vaughan.Emery.Paul@dtaa.com",1
"Ashton.Henry.Valencia@optonline.net","Brynne.Irma.Britt@dtaa.com",15
"Ashton.Henry.Valencia@optonline.net","Jena.Vanna.White@dtaa.com",1
"Ashton.Henry.Valencia@optonline.net","Kai.Susan.Chaney@dtaa.com",2
"Ashton.Henry.Valencia@optonline.net","Wade.Castor.Cabrera@dtaa.com",9
"Ashton.Lucius.Mccarty@dtaa.com","Aidan.Hilel.Morton@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Aiko.Candace.Brock@dtaa.com",14
"Ashton.Lucius.Mccarty@dtaa.com","Ann.Hannah.Dickerson@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Ashely.Violet.Joyner@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Azalia.Inez.Benton@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Benjamin.Gannon.Rodriquez@dtaa.com",30
"Ashton.Lucius.Mccarty@dtaa.com","Blake.Chadwick.Vaughan@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Carson.Quinn.Peters@dtaa.com",19
"Ashton.Lucius.Mccarty@dtaa.com","Cassidy.Serina.Watson@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Chloe.Darrel.Hobbs@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Christen.Portia.Solis@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Christen.Tashya.Rodgers@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Edward.Plato.Parks@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Erich.Addison.Le@dtaa.com",21
"Ashton.Lucius.Mccarty@dtaa.com","Francesca.Kylie.Russo@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Garrison.George.Guerrero@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Georgia.Madison.Preston@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Hayes.Tobias.Mcdowell@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Helen.Brooke.Buchanan@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Ivana.Cecilia.Patton@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Jaden.Alisa.Waller@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Kennan.Thane.Chavez@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Madeson.Chanda.Foley@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","McKenzie.Leigh.Mckee@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Myra.Casey.Lambert@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Odessa.Hayley.Quinn@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Paloma.Haviva.Henry@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Perry.Griffin.Key@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Perry.Reese.Morton@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Quintessa.Kaye.Walter@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Ramona.Sandra.Parrish@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Raphael.Jarrod.Hammond@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Robert.Cooper.Holloway@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Ryder.Benjamin.Salas@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Sarah.Penelope.Duffy@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Solomon.Ryan.Mckinney@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Theodore.Uriah.Edwards@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Thomas.Garrison.Flynn@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Tyler.Damian.Boyd@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Vladimir.Uriel.Barker@dtaa.com",1
"Ashton.Lucius.Mccarty@dtaa.com","Willa.Pearl.Kidd@dtaa.com",20
"Aspen.Summer.Everett@cox.net","Lila.Brooke.Mann@dtaa.com",1
"Aspen.Summer.Everett@cox.net","Zeph.Christopher.Battle@dtaa.com",1
"Astra.Carly.Kim@comcast.net","Fiona.Phyllis.Swanson@dtaa.com",1
"Astra.Darryl.Holden@netzero.com","Cyrus.Jin.Park@dtaa.com",1
"Astra.Darryl.Holden@netzero.com","Maxine.Priscilla.Stewart@dtaa.com",1
"Astra.Hadassah.Mccarthy@hp.com","Benjamin.Griffin.Mclaughlin@dtaa.com",1
"Astra.Hadassah.Mccarthy@hp.com","Kaden.Tarik.Giles@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Aladdin.Mufutau.Finch@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Amethyst.Ocean.Whitley@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Angelica.Shelly.Ortega@dtaa.com",4
"Astra.Montana.Oliver@dtaa.com","Arden.Chaim.Cohen@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Blossom.Lisandra.Boyer@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Brenden.Rahim.Sweeney@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Cassady.Mercedes.Bentley@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Chase.Lane.Booth@dtaa.com",4
"Astra.Montana.Oliver@dtaa.com","Ciara.Wynne.Acevedo@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Clementine.Cherokee.Hicks@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Conan.Burton.Blackburn@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Connor.Giacomo.Knight@dtaa.com",4
"Astra.Montana.Oliver@dtaa.com","Dora.Kiara.Pearson@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Doris.Harriet.Humphrey@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Ezra.Reuben.Warner@dtaa.com",2
"Astra.Montana.Oliver@dtaa.com","Hector.Jonah.Kim@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Hiram.Charles.Hurley@dtaa.com",4
"Astra.Montana.Oliver@dtaa.com","Holmes.Troy.Burnett@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Honorato.Salvador.Morris@dtaa.com",3
"Astra.Montana.Oliver@dtaa.com","Ivan.Tanek.Garrison@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Jolene.Lavinia.Houston@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Joy.Quon.Justice@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Julie.Michelle.Weeks@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Karen.Carolyn.Langley@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Kathleen.Molly.Hunter@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Lawrence.Mark.Harrington@dtaa.com",7
"Astra.Montana.Oliver@dtaa.com","Lucius.Cullen.Gallagher@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Magee.Kane.Delgado@dtaa.com",3
"Astra.Montana.Oliver@dtaa.com","Mikayla.Sacha.Figueroa@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Morgan.Avye.Banks@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Natalie.Quyn.Wilkins@dtaa.com",4
"Astra.Montana.Oliver@dtaa.com","Nelle.Hadley.Walker@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Nerea.Joy.Richardson@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Nicholas.Jason.Potter@dtaa.com",2
"Astra.Montana.Oliver@dtaa.com","Oscar.Simon.Terry@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Porter.Hop.Livingston@dtaa.com",5
"Astra.Montana.Oliver@dtaa.com","Quemby.Summer.Barry@dtaa.com",7
"Astra.Montana.Oliver@dtaa.com","Quon.Rana.Flynn@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Rebekah.Naomi.Russell@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Robert.Herrod.Walter@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Roth.Malcolm.Yang@dtaa.com",8
"Astra.Montana.Oliver@dtaa.com","Rudyard.Davis.Barnett@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Shaeleigh.Stella.Chambers@dtaa.com",4
"Astra.Montana.Oliver@dtaa.com","Shoshana.Portia.Mendoza@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Sloane.John.Peters@dtaa.com",3
"Astra.Montana.Oliver@dtaa.com","Tamekah.Jena.Raymond@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Todd.Jonathan.Shields@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Wade.Warren.Rivers@dtaa.com",1
"Astra.Montana.Oliver@dtaa.com","Xanthus.Malachi.Larson@dtaa.com",3
"Astra.Montana.Oliver@dtaa.com","Zephr.Leslie.Wilder@dtaa.com",1
"Astra.Stacey.Harding@boeing.com","Wanda.Irene.Frazier@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Bo.Quemby.Durham@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Burton.Maxwell.Levy@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Cassady.Mercedes.Bentley@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Cassandra.Francesca.Buchanan@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Castor.Chaim.Combs@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Drake.Ivan.Mejia@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Edward.Vance.Woodard@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Glenna.Leah.Holman@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Graham.Neville.Davis@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Harper.Herrod.Baldwin@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Ina.Meredith.Burnett@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Ivana.Octavia.Terrell@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Jameson.William.Schultz@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Janna.Aretha.Woodward@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Jaquelyn.Yoshi.Mckinney@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Kai.Alexandra.Carroll@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Kasper.Thomas.Shelton@dtaa.com",13
"Athena.Sylvia.Russo@dtaa.com","Kelly.Hashim.Carr@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Kendall.Imani.Lancaster@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Lana.Xandra.Waller@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","McKenzie.Leigh.Mckee@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Minerva.Maya.Mcintyre@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Moana.Cara.Riggs@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Myra.Casey.Lambert@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Nina.Justina.Goodman@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Quamar.Otto.Padilla@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Roth.Isaac.Dyer@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Salvador.Quinn.Price@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Wylie.Keane.Conway@dtaa.com",1
"Athena.Sylvia.Russo@dtaa.com","Xenos.Benjamin.Byers@dtaa.com",25
"Athena.Sylvia.Russo@dtaa.com","Zeph.Ezekiel.Richards@dtaa.com",1
"Aubrey.Baker.Robertson@gmail.com","Lillith.Chanda.Delgado@dtaa.com",26
"Aubrey.Herman.Webb@verizon.net","Barclay.Levi.Mckenzie@dtaa.com",2
"Aubrey.Herman.Webb@verizon.net","Britanney.Maile.Wallace@dtaa.com",1
"Aubrey.Herman.Webb@verizon.net","Catherine.Uta.Calhoun@dtaa.com",1
"Aubrey.Herman.Webb@verizon.net","Jerome.Alec.Wallace@dtaa.com",1
"Aubrey.Herman.Webb@verizon.net","Nicholas.Anthony.Dixon@dtaa.com",4
"Aubrey.Ivan.Whitehead@verizon.net","Amethyst.Suki.Norris@dtaa.com",1
"Aubrey.Ivan.Whitehead@verizon.net","Baxter.Knox.Mejia@dtaa.com",1
